order,family,genus,species,brain_mass,body_mass,common_name
Rodentia,Muridae,Maxomys,surifer,2.54,146.6,Indomalayan Maxomys
Rodentia,Sciuridae,Ammospermophilus,insularis,2.55,101.99,Espiritu Santo Island Antelope Squirrel
Rodentia,Sciuridae,Spermophilus,suslicus,2.55,218.2,Speckled Ground Squirrel
Rodentia,Sciuridae,Spermophilus,musicus,2.62,136,Caucasian Mountain Ground Squirrel
Rodentia,Sciuridae,Ammospermophilus,nelsoni,2.625,167.25,Nelson s Antelope Squirrel
Rodentia,Cricetidae,Neotoma,cinerea,2.65,331.3,Bushy-tailed Woodrat
Rodentia,Cricetidae,Neotoma,fuscipes,2.66,193.3,Dusky-footed Woodrat
Rodentia,Cricetidae,Neotoma,micropus,2.66,378.3,Southern Plains Woodrat
Rodentia,Sciuridae,Spermophilus,madrensis,2.715,151.5,Sierra Madre Ground Squirrel
Rodentia,Cricetidae,Neofiber,alleni,2.72,270.5,Round-tailed Muskrat
Rodentia,Caviidae,Galea,musteloides,2.72,375,Common Yellow-toothed Cavy
Rodentia,Sciuridae,Spermophilus,dauricus,2.75,223.8,Daurian Ground Squirrel
Rodentia,Sciuridae,Spermophilus,elegans,2.76,307.1,Wyoming Ground Squirrel
Rodentia,Sciuridae,Spermophilus,perotensis,2.79,140,Perote Ground Squirrel
Rodentia,Sciuridae,Paraxerus,cepapi,2.85,216,Smith's Bush Squirrel
Rodentia,Sciuridae,Spermophilus,alashanicus,2.89,200,Alashan Ground Squirrel
Rodentia,Sciuridae,Spermophilus,citellus,2.89,288.5,European Ground Squirrel
Rodentia,Sciuridae,Spermophilus,beldingi,2.96,246.9,Belding's Ground Squirrel
Rodentia,Sciuridae,Spermophilus,adocetus,3.01,155.52,Tropical Ground Squirrel
Rodentia,Sciuridae,Glaucomys,sabrinus,3.01,174,Northern Flying Squirrel
Rodentia,Cricetidae,Neotoma,floridana,3.04,257.7,Eastern Woodrat
Rodentia,Sciuridae,Spermophilus,xanthoprymnus,3.04,267.9,Asia Minor Ground Squirrel
Rodentia,Sciuridae,Spermophilus,lateralis,3.06,168.85,Golden-mantled Ground Squirrel
Rodentia,Sciuridae,Spermophilus,armatus,3.09,371.1,Uinta Ground Squirrel
Rodentia,Sciuridae,Spermophilus,richardsonii,3.18,331.5,Richardson's Ground Squirrel
Rodentia,Sciuridae,Iomys,horsfieldii,3.38,155.5,Javanese Flying Squirrel
Rodentia,Sciuridae,Spermophilus,saturatus,3.38,242.7,Ground Squirrels
Rodentia,Muridae,Leopoldamys,siporanus,3.39,332.7,Mentawai Archipelago Leopoldamys
Rodentia,Sciuridae,Spermophilus,erythrogenys,3.44,351,Red-cheeked Ground Squirrel
Rodentia,Sciuridae,Spermophilus,relictus,3.49,340.5,Relict Ground Squirrel
Rodentia,Sciuridae,Spermophilus,mexicanus,3.5,274.5,Mexican Ground Squirrel
Rodentia,Muridae,Sundamys,muelleri,3.5,311.6,Müller s Sundamys
Rodentia,Sciuridae,Pteromyscus,pulverulentus,3.55,400,Smoky Flying Squirrel
Rodentia,Sciuridae,Spermophilus,undulatus,3.73,677.3,Long-tailed Ground Squirrel
Rodentia,Bathyergidae,Bathyergus,suillus,3.75,1175,Cape Dune Mole-rat
Rodentia,Sciuridae,Tamiasciurus,hudsonicus,3.83,188.9,American red squirrel
Rodentia,Sciuridae,Spermophilus,columbianus,3.95,465.8,Columbian Ground Squirrel
Rodentia,Sciuridae,Spermophilus,franklinii,3.96,443.05,Franklin's Ground Squirrel
Rodentia,Muridae,Leopoldamys,sabanus,3.98,332.7,Indomalayan Leopoldamys
Rodentia,Sciuridae,Heliosciurus,gambianus,3.99,295,Gambian Sun Squirrel
Rodentia,Caviidae,Cavia,aperea,4.04,306.45,Brazilian Guinea Pig
Rodentia,Sciuridae,Spermophilus,major,4.12,535,Russet Ground Squirrel
Rodentia,Echimyidae,Hoplomys,gymnurus,4.13,330,Armored Rat
Rodentia,Sciuridae,Funisciurus,anerythrus,4.14,218,Thomas's Rope Squirrel
Rodentia,Sciuridae,Rhinosciurus,laticaudatus,4.28,240,Ant-eating squirrel
Rodentia,Muridae,Hydromys,chrysogaster,4.33,698,Common Water Rat
Rodentia,Sciuridae,Funisciurus,pyrropus,4.38,200,Fire-footed Rope Squirrel
Rodentia,Sciuridae,Callosciurus,nigrovittatus,4.44,202,Black-striped Squirrel
Rodentia,Capromyidae,Geocapromys,ingrahami,4.46,717.3,Bahamian Hutia
Rodentia,Sciuridae,Funisciurus,carruthersi,4.48,268,Carruther's Mountain Squirrel
Rodentia,Sciuridae,Spermophilus,fulvus,4.55,720,Large-toothed souslik
